"club_name";"city";"foundation_date";"club_id";"province"
"UKS Mieszko";"GorzÛw Wlkp.";"1995-01-01";1500001;"lubuskie"
"UKJ LEGION";"ZamoúÊ";"2007-01-01";1500002;"lubelskie"
"LMUKS OLIMPIK";"Suwa≥ki";"2003-01-01";1500003;"podlaskie"
"UKS CSW LIDER";"ZamoúÊ";"2010-01-01";1500004;"lubelskie"
"KS ONI";"Lublin";"2008-01-01";1500006;"lubelskie"
"UKS FUKS";"Warszawa";"2003-01-01";1500007;"mazowieckie"
"MULKS JUNIOR";"DzierøoniÛw";"1999-01-01";1500008;"dolnoúlπskie"
"LUKS ""Lubzina""""""";"Lubzina";"1995-01-01";1500009;"podkarpackie"
"UKSJ NIPPON";"Olsztyn";"2007-01-01";1500010;"warmiÒsko-mazurskie"
"UAKS PODLASIE";"Bia≥ystok";"2012-01-01";1500011;"podlaskie"
"ZTS SokÛ≥";"Lublin";"1991-01-01";1500012;"lubelskie"
"UKS HUTNIK";"PieÒsk";"1965-01-01";1500013;"dolnoúlπskie"
"LUKS SYRENA";"Gnojnica";"1994-01-01";1500014;"podkarpackie"
"KS Koronowo";"Koronowo";"2011-01-01";1500015;"kujawsko-pomorskie"
"KS ""SOBIESKI""""""";"PoznaÒ";"1985-01-01";1500016;"wielkopolskie"
"UKS SAMSON przy S P";"Kobylin";"1996-01-01";1500017;"wielkopolskie"
"KS. AZS- AWF";"GorzÛw Wlkp.";"1978-01-01";1500018;"lubuskie"
"TA ROZUM";"Krotoszyn";"2001-01-01";1500019;"wielkopolskie"
"UKS NIEDèWIADEK";"Warszawa";"2011-01-01";1500021;"mazowieckie"
"ULKS GULIWER";"Kielce";"2006-01-01";1500022;"úwiÍtokrzyskie"
"KS BUDOWLANI";"Olsztyn";"1957-01-01";1500024;"warmiÒsko-mazurskie"
"UKS ""SORGA''""";"ZamoúÊ";"2010-01-01";1500027;"lubelskie"
"Klub Sportowy 20";"£Ûdü";"2005-01-01";1500028;"≥Ûdzkie"
"KS Akademia Judo";"PoznaÒ";"2009-01-01";1500030;"wielkopolskie"
"UKS ""SI”DEMKA""""""";"Strzelce Opolskie";"1999-01-01";1500032;"opolskie"
"UKS MARYSIN WAWERSKI";"Warszawa";"2005-01-01";1500033;"mazowieckie"
"KS DALIN";"Myúlenice";"1921-01-01";1500034;"ma≥opolskie"
"PTC";"Pabianice";"1906-01-01";1500035;"≥Ûdzkie"
"UKS HERKULES";"£omøa";"2000-01-01";1500036;"podlaskie"
"MKS POGO— TYSZOWCE";"Tyszowce";"2011-01-01";1500037;"lubelskie"
"UKS MUSTANG";"Obra";"2000-01-01";1500038;"wielkopolskie"
"UKS KORONA";"Ka≥awa";"2010-01-01";1500039;"lubuskie"
"MUKZ GLADIATOR";"KrakÛw";"2000-01-01";1500040;"ma≥opolskie"
"KS OR£Y";"MilejÛw";"2012-01-01";1500041;"lubelskie"
"LKS Feniks Pesta";"Stargard";"2000-01-01";1500042;"zachodniopomorskie"
"Gorzowskie Stowarzyszenie Sportu i Rekreacji";"GorzÛw Wlkp.";"2004-01-01";1500043;"lubuskie"
"UKS GIMNAZJON";"Suchy Las";"2003-01-01";1500044;"wielkopolskie"
"UKS Atleta";"£Ûdü";"2007-01-01";1500045;"≥Ûdzkie"
"MKS JUVENIA";"Wroc≥aw";"1946-01-01";1500046;"dolnoúlπskie"
"UKS IRON BULLS";"Bielawa";"2013-01-01";1600002;"dolnoúlπskie"
"SSA Legia 1926";"Warszawa";"1926-01-01";1600003;"mazowieckie"
"UKS Orze≥";"Stary ZamoúÊ";"2000-01-01";1600004;"lubelskie"
"UKS MiÍdzychodzka Akademia Sumo";"MiÍdzychÛd";"2016-01-01";1600005;"wielkopolskie"
"UKS SMS";"£Ûdü";"1997-01-01";1600006;"≥Ûdzkie"
"UKS ZDROWY TARG”WEK";"Warszawa";"2001-01-01";1600007;"mazowieckie"
"KS Sumoka";"RzeszÛw";"2014-01-01";1700001;"podkarpackie"
"ULKS Bursztyn";"Lewin K≥odzki";"2002-01-01";1700004;"dolnoúlπskie"
"OLIMPIJCZYK";"Sulmierzyce";"2014-01-01";1800001;"wielkopolskie"
"ULKS Bizon";"Milicz";"1985-01-01";1800004;"dolnoúlπskie"
"Judo ZieliÒscy Kwidzyn";"Kwidzyn";"2014-01-01";1900001;"pomorskie"
"LUKS przy OSP i SP nr 3";"Kudowa ZdrÛj";"1993-01-01";1900003;"dolnoúlπskie"
"Towarzystwo Sportowe ""Gwardia"""" Olsztyn""";"Olsztyn";"2005-01-01";2000001;"warmiÒsko-mazurskie"
"KS DRAGON Kwidzyn";"Kwidzyn";"2020-01-01";2000002;"pomorskie"
"UKS Progress";"Warszawa";"2015-01-01";2000003;"mazowieckie"
"ULKS ""28"""" we W≥yniu""";"Xxxxxx";"2010-01-01";2000004;"≥Ûdzkie"
"KS Bieøanowianka";"KrakÛw";"1925-01-01";2000005;"ma≥opolskie"
"WKS Gymsport";"Wroc≥aw";"2012-01-01";2000007;"dolnoúlπskie"
"Klub Sportowy ""BUDOWLANI"""" £Ûdü""";"£Ûdü";"1948-01-01";2000008;"≥Ûdzkie"
"FIGHTMAN";"Bochnia";"2010-01-01";2100001;"ma≥opolskie"
"Klub Judo Shamo E≥k";"E≥k";"2017-01-01";2100002;"warmiÒsko-mazurskie"
"Polska Federacja Ju-jitsu i Kobudo";"Jaworzno";"1993-01-01";2100003;"úlπskie"
